Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Fax,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 50,2014,Q1 2014,41496.0,273,0.33611842
United States,Fax,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 60,2014,Q1 2014,30324.0,168,0.29911357
United States,Fax,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 100,2014,Q1 2014,93859.05,285,0.30862661
United States,Fax,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 200,2014,Q1 2014,66093.83,121,0.32198891
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2014,Q1 2014,63832.4,908,0.25263158
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness,2014,Q1 2014,39458.25,639,0.29117409
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness Extreme,2014,Q1 2014,78584.0,752,0.48392344
United States,Fax,Outdoors Shop,Mountaineering Equipment,Safety,Granite Signal Mirror,2014,Q1 2014,10890.0,330,0.52393939
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Charger,2014,Q1 2014,32176.4,626,0.56498054
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Rechargeable Battery,2014,Q1 2014,23544.8,3098,0.58552632
United States,Fax,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Chalk Bag,2014,Q1 2014,7722.0,429,0.52611111
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,2014,Q1 2014,47500.0,625,0.48723684
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Hammer,2014,Q1 2014,33203.26,437,0.25138194
United States,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Shovel,2014,Q1 2014,17343.05,295,0.3856098
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2014,Q1 2014,58741.22,1114,0.33681016
United States,Fax,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Extreme,2014,Q1 2014,110071.56,437,0.40447832
United States,Fax,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Pad,2014,Q1 2014,18948.08,433,0.50045704
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2014,Q1 2014,131063.04,372,0.39449932
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2014,Q1 2014,91435.41,209,0.45397609
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Cooler,2014,Q1 2014,36461.6,1190,0.51044386
United States,Fax,Sports Store,Camping Equipment,Lanterns,Firefly Mapreader,2014,Q1 2014,17048.2,1079,0.52531646
United States,Fax,Sports Store,Camping Equipment,Lanterns,Flicker Lantern,2014,Q1 2014,140.36,4,0.55485893
United States,Fax,Sports Store,Personal Accessories,Watches,Mountain Man Deluxe,2014,Q1 2014,8134.35,105,0.49657932
United States,Fax,Sports Store,Personal Accessories,Watches,Mountain Man Combination,2014,Q1 2014,5514.06,58,0.52666456
United States,Fax,Sports Store,Personal Accessories,Knives,Single Edge,2014,Q1 2014,67947.58,5597,0.29489292
United States,Fax,Sports Store,Personal Accessories,Knives,Double Edge,2014,Q1 2014,18415.74,1141,0.29182156
United States,Fax,Sports Store,Personal Accessories,Knives,Bear Edge,2014,Q1 2014,18941.67,477,0.40745404
United States,Fax,Sports Store,Personal Accessories,Binoculars,Seeker 35,2014,Q1 2014,56216.86,562,0.28831351
United States,Fax,Sports Store,Personal Accessories,Binoculars,Seeker Mini,2014,Q1 2014,12923.52,159,0.50787402
United States,Fax,Sports Store,Outdoor Protection,Sunscreen,Sun Blocker,2014,Q1 2014,1125.0,225,0.61
United States,Fax,Sports Store,Outdoor Protection,First Aid,Calamine Relief,2014,Q1 2014,366.0,61,0.52833333
United States,Fax,Sports Store,Outdoor Protection,First Aid,Insect Bite Relief,2014,Q1 2014,570.0,95,0.54
United States,Fax,Sports Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2014,Q1 2014,124376.1,141,0.49110078
United States,Fax,Sports Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2014,Q1 2014,60227.09,119,0.4511865
United States,Fax,Sports Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2014,Q1 2014,58846.8,89,0.48336358
United States,Fax,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2014,Q1 2014,14478.96,1403,0.67054264
United States,Fax,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2014,Q1 2014,54376.74,261,0.61745224
United States,Fax,Sports Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2014,Q1 2014,8484.0,808,0.75714286
United States,Web,Golf Shop,Personal Accessories,Watches,Venue,2014,Q1 2014,73949.0,1013,0.42858294
United States,Web,Golf Shop,Personal Accessories,Watches,Infinity,2014,Q1 2014,157890.2,665,0.45986527
United States,Web,Golf Shop,Personal Accessories,Watches,Lux,2014,Q1 2014,67265.2,396,0.48654044
United States,Web,Golf Shop,Personal Accessories,Watches,Sam,2014,Q1 2014,42144.3,891,0.39648209
United States,Web,Golf Shop,Personal Accessories,Watches,TX,2014,Q1 2014,162834.8,843,0.45423177
United States,Web,Golf Shop,Personal Accessories,Watches,Legend,2014,Q1 2014,100906.2,378,0.43414874
