Retailer country,Order method type,Retailer type,Product line,Product type,Product,Year,Quarter,Revenue,Quantity,Gross margin
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Water Bag,2013,Q4 2013,6918.66,1071,0.54643963
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2013,Q4 2013,8019.2,640,0.367917
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2013,Q4 2013,7092.4,298,0.33067227
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Cup,2013,Q4 2013,1738.5,475,0.76775956
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q4 2013,14964.74,278,0.35036225
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2013,Q4 2013,18238.04,148,0.35437799
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q4 2013,16111.22,254,0.26880025
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q4 2013,9660.06,67,0.4798169
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Kettle,2013,Q4 2013,8683.2,670,0.60570988
United States,Fax,Sports Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q4 2013,4533.15,235,0.48159668
United States,Fax,Sports Store,Camping Equipment,Tents,Star Lite,2013,Q4 2013,130451.02,371,0.28900518
United States,Fax,Sports Store,Camping Equipment,Tents,Star Dome,2013,Q4 2013,37719.35,61,0.35958599
United States,Fax,Sports Store,Camping Equipment,Tents,Star Gazer 3,2013,Q4 2013,32519.24,46,0.35779557
United States,Fax,Sports Store,Camping Equipment,Tents,Star Gazer 6,2013,Q4 2013,24457.2,30,0.39895
United States,Fax,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2013,Q4 2013,22253.4,260,0.29898353
United States,Fax,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Pad,2013,Q4 2013,10341.36,424,0.38499385
United States,Fax,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Pillow,2013,Q4 2013,2170.95,123,0.52124646
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Climber Backpack,2013,Q4 2013,27804.72,372,0.29760127
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q4 2013,35579.6,131,0.38637703
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2013,Q4 2013,32765.76,93,0.39449932
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2013,Q4 2013,47686.41,109,0.45397609
United States,Fax,Sports Store,Camping Equipment,Packs,Canyon Mule Cooler,2013,Q4 2013,11909.43,377,0.52516619
United States,Fax,Sports Store,Camping Equipment,Lanterns,Firefly Lite,2013,Q4 2013,9836.82,666,0.54299255
United States,Fax,Sports Store,Camping Equipment,Lanterns,Firefly 2,2013,Q4 2013,6240.36,228,0.39093898
United States,Fax,Sports Store,Camping Equipment,Lanterns,Firefly 4,2013,Q4 2013,3238.4,110,0.38858696
United States,Fax,Sports Store,Camping Equipment,Lanterns,Firefly Extreme,2013,Q4 2013,3756.32,68,0.45166546
