STORE_ID,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_ID,MRP,CP,DISCOUNT,SP,Date
YR7220,New York(,Electronics,12254943,$31,$20.77,$1.86,$29.14,2019-11-26
YR7220,New York+,Furniture,72619323C,$15,$9.75,$1.5,$13.5,2019-11-26
YR7220,New York ,Electronics,34161682B,$88,$62.48,$4.4,$83.6,2019-11-26
YR7220,New York!,Kitchen,79411621,$91,$58.24,$3.64,$87.36,2019-11-26
YR7220,New York,Fashion,39520263T,$85,$51,$2.55,$82.45,2019-11-26
YR7220,New York,Kitchen,93809204,$37,$24.05,$0.74,$36.26,2019-11-26
YR7220,New York,Cosmetics,86610412D,$80,$48.8,$6.4,$73.6,2019-11-26
YR7220,New York$,Kitchen,52503356^,$71,$42.6,$5.68,$65.32,2019-11-26
YR7220,New York,Kitchen,77516479,$92,$56.12,$3.68,$88.32,2019-11-26
YR7220,New York!,Cosmetics,47334289,$16,$10.72,$0.96,$15.04,2019-11-26
YR7220,"New York""",Cosmetics,87566223^,$38,$23.18,$2.66,$35.34,2019-11-26
YR7220,New York,Electronics,54074401^,$26,$17.68,$0.52,$25.48,2019-11-26
YR7220,New York,Fashion,24246520G,$45,$30.15,$1.35,$43.65,2019-11-26
YR7220,New York,Cosmetics,61138610,$83,$57.27,$1.66,$81.34,2019-11-26
YR7220,New York,Kitchen,69018554,$55,$37.4,$1.65,$53.35,2019-11-26
YR7220,New York,Groceries,11950073P,$13,$7.93,$0.39,$12.61,2019-11-26
YR7220,New York,Fashion,86404418,$69,$48.3,$4.83,$64.17,2019-11-26
YR7220,New York+,Fashion,91763000,$18,$11.7,$0.36,$17.64,2019-11-26
YR7220,New York,Groceries,53648681,$52,$36.92,$1.04,$50.96,2019-11-26
YR7220,New York,Groceries,15652465T,$29,$18.85,$2.03,$26.97,2019-11-26
YR7220,New York,Electronics,40901794,$43,$31.39,$3.87,$39.13,2019-11-26
YR7220,New York%,Electronics,37012634H,$71,$46.15,$4.97,$66.03,2019-11-26
YR7220,New York,Groceries,43219909,$69,$51.75,$2.07,$66.93,2019-11-26
YR7220,New York),Furniture,14965820,$13,$8.71,$1.17,$11.83,2019-11-26
YR7220,New York&,Groceries,86044616,$35,$22.75,$1.05,$33.95,2019-11-26
YR7220,New York),Furniture,47048645,$86,$53.32,$1.72,$84.28,2019-11-26
YR7220,New York,Education,98928833,$41,$30.34,$0.82,$40.18,2019-11-26
YR7220,New York,Education,73363647`,$96,$72,$9.6,$86.4,2019-11-26
YR7220,New York,Electronics,12084655S,$72,$48.24,$6.48,$65.52,2019-11-26
YR7220,New York&,Cosmetics,73234558,$37,$25.16,$2.59,$34.41,2019-11-26
YR7220,New York!,Furniture,75547180A,$70,$49.7,$3.5,$66.5,2019-11-26
YR7220,New York ,Education,29300231,$98,$58.8,$8.82,$89.18,2019-11-26
YR7220,"New York""",Electronics,65744628,$27,$18.36,$1.35,$25.65,2019-11-26
YR7220,New York,Furniture,78142700`,$33,$19.8,$2.97,$30.03,2019-11-26
YR7220,New York,Fashion,44843139,$96,$61.44,$7.68,$88.32,2019-11-26
YR7220,New York,Cosmetics,80842590,$32,$23.68,$2.56,$29.44,2019-11-26
YR7220,New York,Groceries,55436706I,$60,$41.4,$1.2,$58.8,2019-11-26
YR4591,New York,Education,20497436,$99,$69.3,$2.97,$96.03,2019-11-26
YR4591,New York,Cosmetics,71614074,$73,$48.18,$4.38,$68.62,2019-11-26
YR4591,New York,Cosmetics,63525390,$97,$71.78,$5.82,$91.18,2019-11-26
YR4591,New York,Cosmetics,54722595U,$51,$33.15,$2.04,$48.96,2019-11-26
YR4591,"New York""",Electronics,98110351A,$91,$63.7,$5.46,$85.54,2019-11-26
YR4591,New York,Furniture,73992614,$47,$33.37,$1.88,$45.12,2019-11-26
YR4591,New York!,Furniture,26358642,$80,$53.6,$6.4,$73.6,2019-11-26
YR4591,New York,Electronics,71800842T,$19,$11.59,$1.71,$17.29,2019-11-26
YR4591,New York,Kitchen,26092224[,$54,$34.02,$1.08,$52.92,2019-11-26
YR4591,New York),Groceries,15070190,$78,$46.8,$7.8,$70.2,2019-11-26
YR4591,New York,Cosmetics,59960327D,$59,$35.99,$5.9,$53.1,2019-11-26
YR4591,New York,Furniture,15097656^,$72,$46.8,$6.48,$65.52,2019-11-26
YR4591,New York&,Fashion,38135986T,$55,$34.65,$5.5,$49.5,2019-11-26
YR4591,New York,Education,23551635,$44,$31.68,$3.52,$40.48,2019-11-26
YR4591,New York,Education,24880981\,$73,$44.53,$7.3,$65.7,2019-11-26
YR4591,New York,Education,38781433C,$81,$59.94,$3.24,$77.76,2019-11-26
YR4591,New York,Furniture,24219055E,$51,$31.11,$2.04,$48.96,2019-11-26
YR4591,New York ,Electronics,17970581Y,$97,$62.08,$9.7,$87.3,2019-11-26
YR4591,New York,Fashion,58457946,$93,$62.31,$2.79,$90.21,2019-11-26
